id,code,status,price,dateBuy,dateConfirm,noteCancel
u,maDonHang_0,0,100000,6/2/2022,6/2/2022,
1,maDonHang_1,0,100000,6/2/2022,6/2/2022,
2,maDonHang_2,1,200000,6/3/2022,6/3/2022,
3,maDonHang_3,2,300000,6/4/2022,6/4/2022,
4,maDonHang_4,3,400000,6/5/2022,6/5/2022,
5,maDonHang_5,4,500000,6/6/2022,6/6/2022,
6,maDonHang_6,3,600000,6/7/2022,6/7/2022,
7,maDonHang_7,3,700000,6/8/2022,6/8/2022,
8,maDonHang_8,4,800000,6/9/2022,6/9/2022,
9,maDonHang_9,3,900000,6/10/2022,6/10/2022,
10,maDonHang_10,3,1000000,6/10/2022,6/11/2022,
11,maDonHang_11,3,1100000,6/10/2022,6/12/2022,
12,maDonHang_12,0,1200000,6/13/2022,6/13/2022,
13,maDonHang_13,1,1300000,6/14/2022,6/14/2022,
14,maDonHang_14,1,1400000,6/15/2022,6/15/2022,
16,maDonHang_15,1,1400000,6/15/2022,6/15/2022,
